BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
12	2016	240	17	6	48	0	0	162.12	2.27	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	49	0	0	162.11	2.33	0	3	f8	f0	8	4	4	290c	1	0
13	2016	240	17	6	50	0	0	162.08	2.39	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	51	0	0	162.07	2.46	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	52	0	0	162.07	2.51	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	53	0	0	162.05	2.59	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	54	0	0	162.04	2.65	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	55	0	0	162.04	2.72	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	56	0	0	162.01	2.78	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	57	0	0	161.99	2.85	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	58	0	0	161.98	2.91	0	3	f8	f0	8	4	4	290d	1	0
13	2016	240	17	6	59	0	0	161.96	2.98	0	3	f8	f0	8	4	4	290d	1	0
14	2016	240	17	7	0	0	0	161.96	3.04	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	1	0	0	161.95	3.11	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	2	0	0	161.93	3.17	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	3	0	0	161.92	3.24	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	4	0	0	161.91	3.32	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	5	0	0	161.89	3.39	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	6	0	0	161.87	3.46	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	7	0	0	161.87	3.52	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	8	0	0	161.87	3.58	0	3	f8	f0	8	4	4	290e	1	0
14	2016	240	17	7	9	0	0	161.84	3.65	0	3	f8	f0	8	4	4	290e	1	0
15	2016	240	17	7	10	0	0	161.83	3.72	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	11	0	0	161.82	3.8	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	12	0	0	161.79	3.87	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	13	0	0	161.79	3.93	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	14	0	0	161.78	4	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	15	0	0	161.76	4.06	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	16	0	0	161.74	4.14	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	17	0	0	161.73	4.2	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	18	0	0	161.71	4.28	0	3	f8	f0	8	4	4	290f	1	0
15	2016	240	17	7	19	0	0	161.71	4.35	0	3	f8	f0	8	4	4	290f	1	0
16	2016	240	17	7	20	0	0	161.69	4.41	0	3	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	21	0	0	161.67	4.48	0	3	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	22	0	0	161.66	4.55	0	3	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	23	0	0	161.66	4.62	0	3	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	24	0	0	161.63	4.69	0	3	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	25	0	0	161.62	4.75	0	0	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	26	0	0	161.58	4.84	0	0	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	27	0	0	161.59	4.93	0	0	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	28	0	0	161.59	5.03	0	0	f8	f0	8	4	4	2910	1	0
16	2016	240	17	7	29	0	0	161.59	5.13	0	0	f8	f0	8	4	4	2910	1	0
17	2016	240	17	7	30	0	0	161.59	5.24	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	31	0	0	161.59	5.36	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	32	0	0	161.56	5.45	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	33	0	0	161.46	5.54	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	34	0	0	161.46	5.62	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	35	0	0	161.46	5.69	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	36	0	0	161.46	5.76	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	37	0	0	161.46	5.82	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	38	0	0	161.46	5.88	0	0	f8	f0	8	4	4	2911	1	0
17	2016	240	17	7	39	0	0	161.41	5.93	0	0	f8	f0	8	4	4	2911	1	0
18	2016	240	17	7	40	0	0	161.38	5.98	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	41	0	0	161.38	6.05	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	42	0	0	161.38	6.1	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	43	0	0	161.38	6.16	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	44	0	0	161.38	6.23	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	45	0	0	161.38	6.31	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	46	0	0	161.33	6.37	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	47	0	0	161.3	6.44	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	48	0	0	161.29	6.51	0	0	f8	f0	8	4	4	2912	1	0
18	2016	240	17	7	49	0	0	161.25	6.6	0	0	f8	f0	8	4	4	2912	1	0
19	2016	240	17	7	50	0	0	161.24	6.67	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	51	0	0	161.24	6.76	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	52	0	0	161.24	6.83	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	53	0	0	161.21	6.9	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	54	0	0	161.19	6.98	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	55	0	0	161.19	7.05	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	56	0	0	161.18	7.13	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	57	0	0	161.18	7.2	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	58	0	0	161.12	7.28	0	0	f8	f0	8	4	4	2913	1	0
19	2016	240	17	7	59	0	0	161.1	7.35	0	0	f8	f0	8	4	4	2913	1	0
20	2016	240	17	8	0	0	0	161.09	7.43	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	1	0	0	161.06	7.51	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	2	0	0	161.04	7.58	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	3	0	0	161.04	7.67	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	4	0	0	161.04	7.75	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	5	0	0	161.02	7.83	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	6	0	0	160.98	7.9	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	7	0	0	160.97	7.97	0	0	f8	f0	8	4	4	2914	1	0
20	2016	240	17	8	8	0	0	160.95	8.04	0	0	f8	f0	8	4	4	2914	1	0
