BkNo	Year	Day	hh	mm	ss	mss	ns	Range (km)	RangCalib(km)	Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
18	2016	240	17	10	36	751	0	1623.084163	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	37	751	0	1617.099106	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	38	751	0	1611.122743	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	39	751	0	1605.155075	0	0	0	f8	f0	8	4	1	12	1	1
19	2016	240	17	10	40	751	0	1599.1958	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	41	751	0	1593.24507	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	42	751	0	1587.302584	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	43	751	0	1581.369841	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	44	751	0	1575.446242	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	45	751	0	1569.531037	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	46	751	0	1563.625275	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	47	751	0	1557.728807	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	48	751	0	1551.841783	0	0	0	f8	f0	8	4	1	13	1	1
19	2016	240	17	10	49	751	0	1545.964052	0	0	0	f8	f0	8	4	1	13	1	1
20	2016	240	17	10	50	751	0	1540.096364	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	51	751	0	1534.23797	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	52	751	0	1528.389918	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	53	751	0	1522.55176	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	54	751	0	1516.723644	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	55	751	0	1510.906022	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	56	751	0	1505.098293	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	57	751	0	1499.301506	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	58	751	0	1493.514912	0	0	0	f8	f0	8	4	1	14	1	1
20	2016	240	17	10	59	751	0	1487.73926	0	0	0	f8	f0	8	4	1	14	1	1
21	2016	240	17	11	0	751	0	1481.974701	0	0	0	f8	f0	8	4	1	15	1	1
