Year,Day,hh,mm,ss,mss,ns,RangeRate(km/s)
2016,240,17,12,10,700,0,-4.52502045
2016,240,17,12,11,700,0,-4.49835171
2016,240,17,12,12,700,0,-4.47134308
2016,240,17,12,13,700,0,-4.44399403
2016,240,17,12,14,700,0,-4.41632547
2016,240,17,12,15,700,0,-4.3882957
2016,240,17,12,16,700,0,-4.3599331
2016,240,17,12,17,700,0,-4.33121215
2016,240,17,12,18,700,0,-4.30216876
2016,240,17,12,19,700,0,-4.27271632
2016,240,17,12,20,700,0,-4.2429617
2016,240,17,12,21,700,0,-4.21283421
2016,240,17,12,22,700,0,-4.18232025
2016,240,17,12,23,700,0,-4.15146121
2016,240,17,12,24,700,0,-4.12022096
2016,240,17,12,25,700,0,-4.08861584
2016,240,17,12,26,700,0,-4.0566188
2016,240,17,12,27,700,0,-4.02425954
2016,240,17,12,28,700,0,-3.99151042
2016,240,17,12,29,700,0,-3.95838476
2016,240,17,12,30,700,0,-3.92486745
2016,240,17,12,31,700,0,-3.890978
2016,240,17,12,32,700,0,-3.85666644
2016,240,17,12,33,700,0,-3.82196761
2016,240,17,12,34,700,0,-3.78689359
2016,240,17,12,35,700,0,-3.75140212
2016,240,17,12,36,700,0,-3.71551585
2016,240,17,12,37,700,0,-3.67922161
2016,240,17,12,38,700,0,-3.64252105
2016,240,17,12,39,700,0,-3.6054117
2016,240,17,12,40,700,0,-3.56789171
2016,240,17,12,41,700,0,-3.52996186
2016,240,17,12,42,700,0,-3.49164189
2016,240,17,12,43,700,0,-3.45289928
2016,240,17,12,44,700,0,-3.41373196
2016,240,17,12,45,700,0,-3.37415139
2016,240,17,12,46,700,0,-3.33414691
2016,240,17,12,47,700,0,-3.29373985
2016,240,17,12,48,700,0,-3.25292086
2016,240,17,12,49,700,0,-3.21165938
2016,240,17,12,50,700,0,-3.16998366
2016,240,17,12,51,700,0,-3.12789388
2016,240,17,12,52,700,0,-3.08539345
2016,240,17,12,53,700,0,-3.04246784
2016,240,17,12,54,700,0,-2.99912033
2016,240,17,12,55,700,0,-2.95537308
2016,240,17,12,56,700,0,-2.91119333
2016,240,17,12,57,700,0,-2.86661592
2016,240,17,12,58,700,0,-2.82159328
2016,240,17,12,59,700,0,-2.77618676
2016,240,17,13,0,700,0,-2.73036519
2016,240,17,13,1,700,0,-2.68412091
2016,240,17,13,2,700,0,-2.63749441
2016,240,17,13,3,700,0,-2.59044814
2016,240,17,13,4,700,0,-2.54299793
2016,240,17,13,5,700,0,-2.49515266
2016,240,17,13,6,700,0,-2.4469449
2016,240,17,13,7,700,0,-2.39828457
2016,240,17,13,8,700,0,-2.3492826
2016,240,17,13,9,700,0,-2.29987977
2016,240,17,13,10,700,0,-2.25008453
2016,240,17,13,11,700,0,-2.19993226
2016,240,17,13,12,700,0,-2.14940311
2016,240,17,13,13,700,0,-2.09851566
2016,240,17,13,14,700,0,-2.04727538
2016,240,17,13,15,700,0,-1.99565987
2016,240,17,13,16,700,0,-1.94370146
2016,240,17,13,17,700,0,-1.89140706
2016,240,17,13,18,700,0,-1.83876023
2016,240,17,13,19,700,0,-1.7857996
2016,240,17,13,20,700,0,-1.73252211
2016,240,17,13,21,700,0,-1.67890944
2016,240,17,13,22,700,0,-1.62499962
2016,240,17,13,23,700,0,-1.5707852
2016,240,17,13,24,700,0,-1.51628716
2016,240,17,13,25,700,0,-1.46149756
2016,240,17,13,26,700,0,-1.40642262
2016,240,17,13,27,700,0,-1.35107344
2016,240,17,13,28,700,0,-1.29549175
2016,240,17,13,29,700,0,-1.23965154
2016,240,17,13,30,700,0,-1.18357195
2016,240,17,13,31,700,0,-1.12724405
2016,240,17,13,32,700,0,-1.07072179
2016,240,17,13,33,700,0,-1.01397534
2016,240,17,13,34,700,0,-0.95702048
2016,240,17,13,35,700,0,-0.89989918
2016,240,17,13,36,700,0,-0.84259418
2016,240,17,13,37,700,0,-0.7850931
2016,240,17,13,38,700,0,-0.72745882
2016,240,17,13,39,700,0,-0.66966224
2016,240,17,13,40,700,0,-0.6117615
2016,240,17,13,41,700,0,-0.55368567
2016,240,17,13,42,700,0,-0.49551827
2016,240,17,13,43,700,0,-0.43725479
2016,240,17,13,44,700,0,-0.37890481
2016,240,17,13,45,700,0,-0.32047426
2016,240,17,13,46,700,0,-0.26196735
2016,240,17,13,47,700,0,-0.2034245
2016,240,17,13,48,700,0,-0.14482354
2016,240,17,13,49,700,0,-0.08621396
2016,240,17,13,50,700,0,-0.02756225
2016,240,17,13,51,700,0,0.03108788
2016,240,17,13,52,700,0,0.08973404
2016,240,17,13,53,700,0,0.14833771
2016,240,17,13,54,700,0,0.20694248
2016,240,17,13,55,700,0,0.26550217
2016,240,17,13,56,700,0,0.32399758
2016,240,17,13,57,700,0,0.38241781
2016,240,17,13,58,700,0,0.44077884
2016,240,17,13,59,700,0,0.49904275
2016,240,17,14,0,700,0,0.55720456
2016,240,17,14,1,700,0,0.61525613
2016,240,17,14,2,700,0,0.67317675
2016,240,17,14,3,700,0,0.73096102
2016,240,17,14,4,700,0,0.78859721
2016,240,17,14,5,700,0,0.84608752
2016,240,17,14,6,700,0,0.90339045
2016,240,17,14,7,700,0,0.96053805
2016,240,17,14,8,700,0,1.01749193
2016,240,17,14,9,700,0,1.07421659
2016,240,17,14,10,700,0,1.13075386
2016,240,17,14,11,700,0,1.18706138
2016,240,17,14,12,700,0,1.24313995
2016,240,17,14,13,700,0,1.29897537
2016,240,17,14,14,700,0,1.3545819
2016,240,17,14,15,700,0,1.4099221
2016,240,17,14,16,700,0,1.46498125
2016,240,17,14,17,700,0,1.51977486
2016,240,17,14,18,700,0,1.57425577
2016,240,17,14,19,700,0,1.62847222
2016,240,17,14,20,700,0,1.68238276
2016,240,17,14,21,700,0,1.73596581
2016,240,17,14,22,700,0,1.78927366
2016,240,17,14,23,700,0,1.84222072
2016,240,17,14,24,700,0,1.89485827
2016,240,17,14,25,700,0,1.9471632
2016,240,17,14,26,700,0,1.99910605
2016,240,17,14,27,700,0,2.0506967
2016,240,17,14,28,700,0,2.10196785
2016,240,17,14,29,700,0,2.15285162
2016,240,17,14,30,700,0,2.20336558
2016,240,17,14,31,700,0,2.253529
2016,240,17,14,32,700,0,2.30332415
2016,240,17,14,33,700,0,2.35271186
2016,240,17,14,34,700,0,2.40171905
2016,240,17,14,35,700,0,2.45034031
2016,240,17,14,36,700,0,2.49857258
2016,240,17,14,37,700,0,2.54641473
