Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,12,11,751,0,1111.27488079
2016,240,17,12,12,751,0,1106.7907351
2016,240,17,12,13,751,0,1102.33342084
2016,240,17,12,14,751,0,1097.90413717
2016,240,17,12,15,751,0,1093.5024344
2016,240,17,12,16,751,0,1089.12951171
2016,240,17,12,17,751,0,1084.78461962
2016,240,17,12,18,751,0,1080.4685076
2016,240,17,12,19,751,0,1076.18207504
2016,240,17,12,20,751,0,1071.92502213
2016,240,17,12,21,751,0,1067.69779858
2016,240,17,12,22,751,0,1063.50070417
2016,240,17,12,23,751,0,1059.33478817
2016,240,17,12,24,751,0,1055.1997508
2016,240,17,12,25,751,0,1051.09619163
2016,240,17,12,26,751,0,1047.02426057
2016,240,17,12,27,751,0,1042.9845572
2016,240,17,12,28,751,0,1038.97753121
2016,240,17,12,29,751,0,1035.00303269
2016,240,17,12,30,751,0,1031.06211094
2016,240,17,12,31,751,0,1027.15506573
2016,240,17,12,32,751,0,1023.28219686
2016,240,17,12,33,751,0,1019.44335444
2016,240,17,12,34,751,0,1015.63958773
2016,240,17,12,35,751,0,1011.87134643
2016,240,17,12,36,751,0,1008.13893033
2016,240,17,12,37,751,0,1004.44233942
2016,240,17,12,38,751,0,1000.7821733
2016,240,17,12,39,751,0,997.15858186
2016,240,17,12,40,751,0,993.57276427
2016,240,17,12,41,751,0,990.02502032
2016,240,17,12,42,751,0,986.51505023
2016,240,17,12,43,751,0,983.04345356
2016,240,17,12,44,751,0,979.61112971
2016,240,17,12,45,751,0,976.21852836
2016,240,17,12,46,751,0,972.86579941
2016,240,17,12,47,751,0,969.55324264
2016,240,17,12,48,751,0,966.28160755
2016,240,17,12,49,751,0,963.05119392
2016,240,17,12,50,751,0,959.86170196
2016,240,17,12,51,751,0,956.71373125
2016,240,17,12,52,751,0,953.60863087
2016,240,17,12,53,751,0,950.54625091
2016,240,17,12,54,751,0,947.52674127
2016,240,17,12,55,751,0,944.55085144
2016,240,17,12,56,751,0,941.61918099
2016,240,17,12,57,751,0,938.73202972
2016,240,17,12,58,751,0,935.88924774
2016,240,17,12,59,751,0,933.09173442
2016,240,17,13,0,751,0,930.33993945
2016,240,17,13,1,751,0,927.63371293
2016,240,17,13,2,751,0,924.97425403
2016,240,17,13,3,751,0,922.36126297
2016,240,17,13,4,751,0,919.79593891
2016,240,17,13,5,751,0,917.27858164
2016,240,17,13,6,751,0,914.80934106
2016,240,17,13,7,751,0,912.38776748
2016,240,17,13,8,751,0,910.01535986
2016,240,17,13,9,751,0,907.6925679
2016,240,17,13,10,751,0,905.41909179
2016,240,17,13,11,751,0,903.19613071
2016,240,17,13,12,751,0,901.02353477
2016,240,17,13,13,751,0,898.90115406
2016,240,17,13,14,751,0,896.83018776
2016,240,17,13,15,751,0,894.81033608
2016,240,17,13,16,751,0,892.84264828
2016,240,17,13,17,751,0,890.92682458
2016,240,17,13,18,751,0,889.06346456
2016,240,17,13,19,751,0,887.2530179
2016,240,17,13,20,751,0,885.4960842
2016,240,17,13,21,751,0,883.79206387
2016,240,17,13,22,751,0,882.14200618
2016,240,17,13,23,751,0,880.54591113
