BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
14	2016	240	17	7	19	200	0	-3.67609931	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	20	200	0	-3.67572225	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	21	200	0	-3.67534599	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	22	200	0	-3.52436634	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	23	200	0	-3.54529489	0	0	0	f8	f0	8	4	3	000e	1	1
15	2016	240	17	7	30	700	0	-6.61826686	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	31	700	0	-6.61738891	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	32	700	0	-6.61647911	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	33	700	0	-6.6155881	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	34	700	0	-6.61466278	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	35	700	0	-6.61373067	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	36	700	0	-6.61278083	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	37	700	0	-6.61181901	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	38	700	0	-6.61084472	0	0	0	f8	f0	8	4	3	000f	1	1
15	2016	240	17	7	39	700	0	-6.60985798	0	0	0	f8	f0	8	4	3	000f	1	1
16	2016	240	17	7	40	700	0	-6.60881762	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	41	700	0	-6.60782355	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	42	700	0	-6.60677432	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	43	700	0	-6.60573442	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	44	700	0	-6.60466388	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	45	700	0	-6.60357928	0	0	0	f8	f0	8	4	3	10	1	1
