BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,10,24,751,1695.516719,157.05,22.37,-6.08120782,-0.06,0.15
2016,2016,240,17,10,25,751,1689.439176,156.99,22.52,-6.07399225,-0.05,0.15
2016,2016,240,17,10,26,751,1683.368978,156.94,22.67,-6.06672257,-0.04,0.15
2016,2016,240,17,10,27,751,1677.305976,156.9,22.82,-6.05935977,-0.05,0.14
2016,2016,240,17,10,28,751,1671.250318,156.85,22.96,-6.05188398,-0.05,0.15
2016,2016,240,17,10,29,751,1665.202605,156.8,23.11,-6.04432598,-0.05,0.15
2016,2016,240,17,10,30,751,1659.162236,156.75,23.26,-6.03669977,-0.04,0.15
2016,2016,240,17,10,31,751,1653.128763,156.71,23.41,-6.02898149,-0.06,0.16
2016,2016,240,17,10,32,751,1647.103834,156.65,23.57,-6.02115389,-0.06,0.15
2016,2016,240,17,10,33,751,1641.08685,156.59,23.72,-6.0132165,-0.04,0.15
2016,2016,240,17,10,34,751,1635.07766,156.55,23.87,-6.00521663,-0.05,0.14
2016,2016,240,17,10,35,751,1629.076864,156.5,24.01,-5.99712302,-0.06,0.16
2016,2016,240,17,10,36,751,1623.084163,156.44,24.17,-5.9889181,-0.05,0.14
2016,2016,240,17,10,37,751,1617.099106,156.39,24.31,-5.98061118,-0.04,0.16
2016,2016,240,17,10,38,751,1611.122743,156.35,24.47,-5.97222719,-0.07,0.16
2016,2016,240,17,10,39,751,1605.155075,156.28,24.63,-5.96373294,-0.06,0.16
2016,2016,240,17,10,40,751,1599.1958,156.22,24.79,-5.95511738,-0.05,0.16
2016,2016,240,17,10,41,751,1593.24507,156.17,24.95,-5.94642421,-0.06,0.15
2016,2016,240,17,10,42,751,1587.302584,156.11,25.1,-5.9376052,-0.06,0.17
2016,2016,240,17,10,43,751,1581.369841,156.05,25.27,-5.92868459,-0.04,0.16
2016,2016,240,17,10,44,751,1575.446242,156.01,25.43,-5.91966413,-0.06,0.16
2016,2016,240,17,10,45,751,1569.531037,155.95,25.59,-5.91052235,-0.07,0.17
2016,2016,240,17,10,46,751,1563.625275,155.88,25.76,-5.90128225,-0.05,0.16
2016,2016,240,17,10,47,751,1557.728807,155.83,25.92,-5.89193755,-0.06,0.16
2016,2016,240,17,10,48,751,1551.841783,155.77,26.08,-5.88245023,-0.07,0.17
2016,2016,240,17,10,49,751,1545.964052,155.7,26.25,-5.87287283,-0.05,0.17
2016,2016,240,17,10,50,751,1540.096364,155.65,26.42,-5.86316533,-0.05,0.16
2016,2016,240,17,10,51,751,1534.23797,155.6,26.58,-5.85334751,-0.07,0.17
2016,2016,240,17,10,52,751,1528.389918,155.53,26.75,-5.84341624,-0.05,0.17
2016,2016,240,17,10,53,751,1522.55176,155.48,26.92,-5.83334081,-0.07,0.17
2016,2016,240,17,10,54,751,1516.723644,155.41,27.09,-5.82317531,-0.07,0.17
2016,2016,240,17,10,55,751,1510.906022,155.34,27.26,-5.81286831,-0.05,0.18
2016,2016,240,17,10,56,751,1505.098293,155.29,27.44,-5.80243474,-0.07,0.17
2016,2016,240,17,10,57,751,1499.301506,155.22,27.61,-5.79185814,-0.06,0.17
2016,2016,240,17,10,58,751,1493.514912,155.16,27.78,-5.78116962,-0.06,0.18
2016,2016,240,17,10,59,751,1487.73926,155.1,27.96,-5.77034833,-0.08,0.17
2016,2016,240,17,11,0,751,1481.974701,155.02,28.13,-5.75940685,-0.06,0.19
2016,2016,240,17,11,1,751,1476.221234,154.96,28.32,-5.74828685,-0.07,0.17
2016,2016,240,17,11,2,751,1470.47796,154.89,28.49,-5.73706118,-0.07,0.18
2016,2016,240,17,11,3,751,1464.746827,154.82,28.67,-5.72568822,-0.06,0.18
2016,2016,240,17,11,4,751,1459.026637,154.76,28.85,-5.71418256,-0.08,0.17
2016,2016,240,17,11,5,751,1453.318889,154.68,29.02,-5.70253014,-0.07,0.18
2016,2016,240,17,11,6,751,1447.622232,154.61,29.2,-5.69071743,-0.07,0.19
2016,2016,240,17,11,7,751,1441.937868,154.54,29.39,-5.67878555,-0.08,0.19
2016,2016,240,17,11,8,751,1436.265644,154.46,29.58,-5.66671156,-0.07,0.19
2016,2016,240,17,11,9,751,1430.605413,154.39,29.77,-5.65445851,-0.09,0.2
2016,2016,240,17,11,10,751,1424.957023,154.3,29.97,-5.64207168,-0.07,0.2
2016,2016,240,17,11,11,751,1419.321075,154.23,30.17,-5.62950432,-0.09,0.18
2016,2016,240,17,11,12,751,1413.698018,154.14,30.35,-5.61680159,-0.07,0.19
2016,2016,240,17,11,13,751,1408.088751,154.07,30.54,-5.60394591,-0.08,0.19
2016,2016,240,17,11,14,751,1402.491026,153.99,30.73,-5.59091582,-0.08,0.2
2016,2016,240,17,11,15,751,1396.907092,153.91,30.93,-5.57771764,-0.07,0.19
2016,2016,240,17,11,16,751,1391.336498,153.84,31.12,-5.56436745,-0.09,0.2
2016,2016,240,17,11,17,751,1385.778796,153.75,31.32,-5.55084818,-0.08,0.19
2016,2016,240,17,11,18,751,1380.233984,153.67,31.51,-5.53716129,-0.09,0.2
2016,2016,240,17,11,19,751,1374.704762,153.58,31.71,-5.52328235,-0.08,0.19
2016,2016,240,17,11,20,751,1369.188581,153.5,31.9,-5.50925557,-0.09,0.21
2016,2016,240,17,11,21,751,1363.687089,153.41,32.11,-5.49504353,-0.07,0.21
2016,2016,240,17,11,22,751,1358.199239,153.34,32.32,-5.4806337,-0.1,0.21
2016,2016,240,17,11,23,751,1352.726078,153.24,32.53,-5.4660558,-0.08,0.21
2016,2016,240,17,11,24,751,1347.267906,153.16,32.74,-5.45131707,-0.1,0.21
2016,2016,240,17,11,25,751,1341.824425,153.06,32.95,-5.43637069,-0.08,0.21
2016,2016,240,17,11,26,751,1336.395783,152.98,33.16,-5.42122026,-0.1,0.21
2016,2016,240,17,11,27,751,1330.981831,152.88,33.37,-5.40590589,-0.08,0.21
2016,2016,240,17,11,28,751,1325.584667,152.8,33.58,-5.39037973,-0.11,0.2
