BkNo,Year,Day,hh,mm,ss,mss,ns,Azimuth(deg),Elevation(deg)Tv,DvTSnRSnDTpSTpSId,BkCtSRtInTim,,,,,,,,
21,2016,252,12,24,11,0,0,152.65,11.49,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,12,0,0,152.59,11.6,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,13,0,0,152.51,11.71,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,14,0,0,152.44,11.82,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,15,0,0,152.37,11.93,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,16,0,0,152.29,12.04,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,17,0,0,152.23,12.15,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,18,0,0,152.15,12.26,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,19,0,0,152.08,12.37,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,20,0,0,152.01,12.48,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,21,0,0,151.93,12.6,0,3,f9,f0,18,4,4,0,1,0
22,2016,252,12,24,22,0,0,151.86,12.71,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,23,0,0,151.77,12.83,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,24,0,0,151.7,12.95,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,25,0,0,151.61,13.06,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,26,0,0,151.54,13.18,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,27,0,0,151.46,13.29,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,28,0,0,151.37,13.41,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,29,0,0,151.3,13.53,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,30,0,0,151.21,13.64,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,31,0,0,151.14,13.76,0,3,f9,f0,18,4,4,0,1,0
23,2016,252,12,24,32,0,0,151.04,13.89,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,33,0,0,150.96,14.01,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,34,0,0,150.87,14.13,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,35,0,0,150.79,14.25,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,36,0,0,150.69,14.38,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,37,0,0,150.62,14.5,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,38,0,0,150.52,14.62,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,39,0,0,150.44,14.75,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,40,0,0,150.34,14.87,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,41,0,0,150.26,15,0,3,f9,f0,18,4,4,0,1,0
24,2016,252,12,24,42,0,0,150.15,15.13,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,43,0,0,150.06,15.26,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,44,0,0,149.97,15.4,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,45,0,0,149.87,15.53,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,46,0,0,149.77,15.65,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,47,0,0,149.67,15.79,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,48,0,0,149.58,15.92,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,49,0,0,149.48,16.05,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,50,0,0,149.39,16.18,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,51,0,0,149.28,16.32,0,3,f9,f0,18,4,4,0,1,0
25,2016,252,12,24,52,0,0,149.18,16.46,0,3,f9,f0,18,4,4,0,1,0
26,2016,252,12,24,53,0,0,149.07,16.6,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,54,0,0,148.96,16.73,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,55,0,0,148.86,16.88,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,56,0,0,148.74,17.02,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,57,0,0,148.64,17.16,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,58,0,0,148.53,17.29,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,24,59,0,0,148.42,17.43,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,25,0,0,0,148.33,17.57,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,25,1,0,0,148.2,17.72,0,3,f9,f0,18,4,4,0e1a,1,0
26,2016,252,12,25,2,0,0,148.08,17.87,0,3,f9,f0,18,4,4,0e1a,1,0
27,2016,252,12,25,3,0,0,147.97,18.02,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,4,0,0,147.85,18.17,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,5,0,0,147.73,18.32,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,6,0,0,147.61,18.46,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,7,0,0,147.49,18.62,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,8,0,0,147.37,18.76,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,9,0,0,147.26,18.91,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,10,0,0,147.14,19.06,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,11,0,0,147,19.22,0,3,f9,f0,18,4,4,0e1b,1,0
27,2016,252,12,25,12,0,0,146.87,19.38,0,3,f9,f0,18,4,4,0e1b,1,0
28,2016,252,12,25,13,0,0,146.74,19.54,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,14,0,0,146.6,19.7,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,15,0,0,146.46,19.86,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,16,0,0,146.33,20.02,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,17,0,0,146.21,20.18,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,18,0,0,146.07,20.34,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,19,0,0,145.93,20.5,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,20,0,0,145.8,20.66,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,21,0,0,145.65,20.83,0,3,f9,f0,18,4,4,0e1c,1,0
28,2016,252,12,25,22,0,0,145.5,21.01,0,3,f9,f0,18,4,4,0e1c,1,0
29,2016,252,12,25,23,0,0,145.35,21.17,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,24,0,0,145.2,21.35,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,25,0,0,145.05,21.51,0,3,f9,f0,18,4,4,0e1d,1,0
29,2016,252,12,25,26,0,0,144.89,21.69,0,3,f9,f0,18,4,4,0e1d,1,0
